timestamp,speed,acceleration,gradient,acc_x,acc_y,acc_z,jerk,turning_rate,energy_factor,driver_cluster
1747223103.0,0.0463,-96.304,0.0,-0.996094,-1.035156,9.648438,0.0,0.0,207062807.47809875,1
1747223104.0,0.164828,118.52799999999999,0.0,-0.996094,-1.035156,9.609375,0.0,0.0,207072811.94657826,1
1747223105.0,0.100008,-64.82000000000001,0.0,-1.035156,-1.035156,9.648438,0.0,0.0,207061967.14728206,1
1747223106.0,0.105564,5.556000000000005,0.0,-0.996094,-0.996094,9.648438,0.0,0.0,207064912.87257555,1
1747223107.0,0.098156,-7.408000000000012,0.0,-0.996094,-0.996094,9.648438,0.0,0.0,207064365.12341762,1
1747223108.0,0.042596,-55.55999999999999,0.0,-1.074219,-0.996094,9.613281,0.0,0.003906,207063679.0485439,1
1747223109.0,0.1389,96.304,0.0,-2.566406,-0.957031,9.421875,0.0,0.041016,207070243.85732025,1
1747223110.0,3.152104,3013.2039999999997,0.24057411771936418,-1.148438,-0.152344,9.6875,0.0,0.222656,211025311.4574525,2
1747223111.0,4.891132,1739.0279999999998,-0.17548255644742405,-1.378906,-0.574219,9.84375,0.0,0.349609,210605554.1450754,2
1747223112.0,6.050484,1159.352,0.1810306621319975,-1.761719,0.304688,9.269531,0.0,0.412109,209992153.66244143,2
1747223113.0,9.048872,2998.3879999999995,0.0,-2.144531,-0.113281,9.269531,0.0,0.298828,218370162.31110534,2
1747223114.0,13.106605,4057.7330000000006,0.03274130252185434,-1.722656,-0.191406,9.578125,0.0,0.177734,229226758.09927526,2
1747223115.0,17.158781,4052.176000000001,-0.04549872898283305,-2.070312,-0.765625,9.078125,0.0,0.080078,236033429.89527136,1
1747223116.0,14.11224,-3046.541000000001,-0.02445346476573705,-1.492188,0.191406,9.421875,0.0,0.029297,189150061.0184521,1
1747223117.0,20.7887,6676.459999999998,-0.11495028352377254,-1.265625,-0.765625,9.386719,0.0,0.003906,264887352.6306239,1
1747223118.0,22.768488,1979.7880000000027,-0.17388157853756575,-1.074219,-0.34375,9.15625,0.0,0.003906,225832005.2396752,1
1747223119.0,25.657608,2889.119999999998,-0.11373737572921744,-0.691406,-0.652344,9.652344,0.0,0.003906,237940940.54115093,1
1747223120.0,27.363298,1705.6900000000005,-0.21726385808263723,0.574219,-0.230469,10.074219,0.0,0.005859,226489724.7545729,1
1747223121.0,25.496485,-1866.8130000000006,-0.12159529994444757,0.765625,-0.421875,9.804688,0.0,0.0,187221417.75690266,1
1747223122.0,24.468624,-1027.8610000000015,-0.14060196968202363,0.382812,0.113281,9.542969,0.0,0.003906,196572841.80788842,1
1747223123.0,23.174076,-1294.5479999999989,-0.08530293393740898,0.652344,-0.34375,9.609375,0.0,0.001953,194557965.9482001,1
1747223124.0,20.638689,-2535.387,-0.14448526192914865,1.570312,-0.304688,9.078125,0.0,0.035156,185250817.62582564,1
1747223125.0,16.51058,-4128.108999999999,-0.22872074078682678,1.914062,-0.804688,10.53125,0.0,0.058594,178651562.55809203,1
1747223126.0,12.901032,-3609.5480000000002,-0.1667250780660826,1.800781,0.304688,9.765625,0.0,0.013672,187653812.8733702,1
1747223127.0,7.511713,-5389.319,-0.12820806165729404,0.691406,0.652344,9.6875,0.0,0.056641,190193233.91356224,1
1747223128.0,6.228276,-1283.4370000000001,-0.4535128662507502,-0.652344,1.074219,9.460938,0.0,0.199219,203723784.9905776,1
1747223129.0,8.784036,2555.76,-0.33373296988208634,-1.035156,1.648438,9.578125,0.0,0.419922,216407865.12031388,2
1747223130.0,13.37144,4587.4039999999995,-0.06279812692056315,-1.648438,0.113281,9.5,0.0,0.472656,232620382.752607,2
1747223131.0,19.0756,5704.160000000002,-0.06206727212678113,-1.417969,-1.1875,9.304688,0.0,0.107422,252398518.89621252,1
1747223132.0,24.229717,5154.116999999999,-0.14714442938298952,-1.570312,-1.1875,9.582031,0.0,0.023438,259086140.5944949,1
1747223133.0,29.219006,4989.289,-0.16856764753094983,-1.035156,-0.304688,9.460938,0.0,0.041016,267789084.81821296,1
1747223134.0,34.156437,4937.430999999997,-0.13207738201913835,-1.074219,0.421875,9.386719,0.0,0.076172,277317297.5737677,1
1747223135.0,38.312325,4155.8880000000045,-0.048253264023201084,-0.613281,-0.460938,8.964844,0.0,0.052734,273402024.05336034,1
1747223136.0,42.05151,3739.184999999999,-0.043327820535708494,-0.421875,-1.378906,9.578125,0.0,0.044922,272576088.9115424,1
1747223137.0,44.96656,2915.0500000000006,-0.08170573335255946,-0.078125,-1.417969,9.730469,0.0,0.048828,261669435.58322167,1
1747223138.0,44.964706,-1.8540000000015766,-0.03207597296956326,-0.191406,-0.34375,9.460938,0.0,0.003906,207027211.10902622,1
1747223139.0,43.979443,-985.2629999999962,0.023622937397563496,0.421875,-0.917969,10.070312,0.0,0.023438,189017265.83350828,1
1747223140.0,41.607033,-2372.410000000002,-0.02531492065881155,0.804688,-0.191406,9.542969,0.0,0.085938,165934467.7705928,1
1747223141.0,37.26965,-4337.3830000000025,0.009303810244876472,0.230469,-0.039062,8.816406,0.0,0.060547,139713198.0694714,1
1747223142.0,32.635944,-4633.7059999999965,0.062166179708806904,0.269531,-0.113281,9.347656,0.0,0.007812,144064401.23431632,1
1747223143.0,28.333748,-4302.196000000002,-0.012854885351273954,0.535156,-0.574219,9.84375,0.0,0.001953,156274319.56016263,1
1747223144.0,23.437059,-4896.6889999999985,0.014033249841678606,0.304688,-0.230469,9.765625,0.0,0.003906,159249035.1816879,1
1747223145.0,19.264505,-4172.554000000002,0.0,0.230469,-0.691406,9.648438,0.0,0.003906,173573170.41496426,1
